id,name,latitude,longitude
430,이촌,37.52234094,126.9741382
431,동작,37.50300413,126.9790224
432,총신대입구,37.48678247,126.981945
433,사당,37.4767992,126.9814245
434,남태령,37.46424858,126.9888363
2511,방화,37.57729066,126.8127115
2512,개화산,37.57231242,126.8062885
2513,김포공항,37.5622601,126.8014703
2514,송정,37.56115795,126.811792
2515,마곡,37.56025035,126.8248665
2516,발산,37.55848385,126.837456
2517,우장산,37.54886035,126.8363531
2518,화곡,37.54175707,126.8402952
2519,까치산,37.53168373,126.8467432
2520,신정,37.52501081,126.8562294
2521,목동,37.52586671,126.8645757
2522,오목교,37.52436614,126.8750582
2523,양평,37.52558457,126.8862032
2524,영등포구청,37.52524847,126.8958333
2525,영등포시장,37.52274531,126.9047596
2526,신길,37.51742655,126.916543
2527,여의도,37.52165166,126.9242291
2528,여의나루,37.52707204,126.9328665
2529,마포,37.53956668,126.9457536
2530,공덕,37.54412449,126.9513584
2531,애오개,37.5535295,126.956632
2532,충정로,37.56022847,126.9636503
2533,서대문,37.56573781,126.9665864
2534,광화문,37.5708165,126.9762129
2535,종로3가,37.57139366,126.9912115
2536,을지로4가,37.56702797,126.9979016
2537,동대문역사문화공원,37.56507829,127.0071679
2538,청구,37.56021257,127.0137698
2539,신금호,37.55440938,127.0205515
2540,행당,37.55754312,127.0296931
2541,왕십리,37.56172516,127.0369076
2542,마장,37.56620675,127.0429769
2544,장한평,37.56153057,127.0642826
2545,군자,37.55713392,127.079433
2546,아차산,37.55203633,127.0896015
2547,광나루,37.5450481,127.1035121
2548,천호,37.53842355,127.1236234
2549,강동,37.53587886,127.132079
2550,길동,37.53794494,127.1400433
2551,굽은다리,37.54537927,127.1428116
2552,명일,37.55149734,127.1439883
2553,고덕,37.55503473,127.1540785
2554,상일동,37.55658759,127.1652632
2555,둔촌동,37.52774726,127.136296
2556,올림픽공원,37.51620079,127.1308803
2557,방이,37.50865738,127.1260716
2558,오금,37.50196105,127.1277379
2559,개롱,37.49782678,127.1348328
2560,거여,37.49316744,127.1436672
2561,마천,37.49495884,127.152476
2611,응암,37.59853005,126.9155088
2612,역촌,37.60625985,126.9227732
2613,불광,37.61033354,126.9298281
2614,독바위,37.61844071,126.9329961
2615,연신내,37.61881292,126.9206158
2616,구산,37.61125852,126.9171923
2617,새절,37.59099413,126.9136601
2618,증산,37.58375597,126.9094115
2619,디지털미디어시티,37.57663026,126.8996845
2620,월드컵경기장,37.56938269,126.8990612
2621,마포구청,37.56350657,126.9031935
2622,망원,37.55594386,126.9098166
2623,합정,37.54979888,126.9141239
2624,상수,37.54776978,126.9225838
2625,광흥창,37.54746977,126.9318177
2626,대흥,37.54766489,126.9422206
2627,공덕,37.54354807,126.9518977
2628,효창공원앞,37.539542,126.961371
2629,삼각지,37.53471155,126.9733777
2630,녹사평,37.53464201,126.9867518
2631,이태원,37.53449861,126.994038
2632,한강진,37.53974445,127.0014826
2633,버티고개,37.54806951,127.0066086
2634,약수,37.5542519,127.0104682
2635,청구,37.56021257,127.0135698
2636,신당,37.56582912,127.0181023
2637,동묘앞,37.57226031,127.0158732
2638,창신,37.57934562,127.0151078
2639,보문,37.58543035,127.0192192
2640,안암,37.58623045,127.0292203
2641,고려대,37.59033908,127.0358642
2642,월곡,37.6020753,127.0414221
2643,상월곡,37.60632242,127.0485887
2644,돌곶이,37.61052771,127.0564482
2645,석계,37.61498323,127.0655612
2646,태릉입구,37.61796533,127.0748937
2647,화랑대,37.62013061,127.0844264
2648,봉화산,37.61747193,127.0910857
2649,신내,37.61264135,127.103395
